# Time	QueueLength
1.10005	1
1.10005	0
1.11011	1
1.11011	0
1.12018	1
1.12018	0
1.22023	1
1.22023	0
1.22023	1
1.22023	2
1.22023	3
1.22023	4
1.22023	5
1.22023	6
1.22023	7
1.22023	8
1.22023	9
1.22023	10
1.22027	9
1.22074	8
1.22121	7
1.22168	6
1.22216	5
1.22263	4
1.2231	3
1.22357	2
1.22404	1
1.22452	0
1.32027	1
1.32027	0
1.32074	1
1.32074	0
1.32121	1
1.32141	0
1.32168	1
1.32209	0
1.32216	1
1.32263	2
1.32276	1
1.3231	2
1.32344	1
1.32357	2
1.32404	3
1.32411	2
1.32452	3
1.32479	2
1.32499	3
1.32546	2
1.32613	1
1.32681	0
1.33141	1
1.33141	0
1.33276	1
1.33276	0
1.33411	1
1.33411	0
1.33546	1
1.33546	0
1.33681	1
1.33681	0
1.34148	1
1.34148	0
1.34283	1
1.34283	0
1.34417	1
1.34417	0
1.34552	1
1.34552	0
1.34687	1
1.34687	0
1.44152	1
1.44152	0
1.44152	1
1.44199	0
1.44287	1
1.44287	0
1.44287	1
1.44287	2
1.44334	1
1.44381	0
1.44422	1
1.44422	2
1.44422	3
1.44428	2
1.44476	1
1.44523	0
1.44557	1
1.44557	2
1.44557	3
1.4457	2
1.44617	1
1.44664	0
1.44691	1
1.44691	2
1.44691	3
1.44712	2
1.44759	1
1.44806	0
1.53748	1
1.53748	0
1.54199	1
1.54199	0
1.54246	1
1.54267	0
1.54334	1
1.54334	0
1.54381	1
1.54401	0
1.54428	1
1.54469	0
1.54476	1
1.54523	2
1.54536	1
1.5457	2
1.54604	1
1.54617	2
1.54664	3
1.54671	2
1.54712	3
1.54739	2
1.54755	3
1.54755	2
1.54759	3
1.54806	4
1.54806	3
1.54853	4
1.54873	3
1.54941	2
1.55008	1
1.55076	0
1.55334	1
1.55334	0
1.55469	1
1.55469	0
1.55604	1
1.55604	0
1.55739	1
1.55739	0
1.55873	1
1.55873	0
1.56008	1
1.56008	0
1.56143	1
1.56143	0
1.5634	1
1.5634	0
1.56475	1
1.56475	0
1.5661	1
1.5661	0
1.56745	1
1.56745	0
1.5688	1
1.5688	0
1.57014	1
1.57014	0
1.57149	1
1.57149	0
1.64759	1
1.64759	0
1.64759	1
1.64806	0
1.66345	1
1.66345	0
1.66345	1
1.66345	2
1.66392	1
1.66439	0
1.66479	1
1.66479	2
1.66479	3
1.66486	2
1.66533	1
1.66581	0
1.66614	1
1.66614	2
1.66614	3
1.66628	2
1.66675	1
1.66722	0
1.66749	1
1.66749	2
1.66749	3
1.66769	2
1.66817	1
1.66864	0
1.66884	1
1.66884	2
1.66884	3
1.66911	2
1.66958	1
1.67005	0
1.67019	1
1.67019	2
1.67019	3
1.67053	2
1.671	1
1.67147	0
1.67154	1
1.67154	2
1.67154	3
1.67194	2
1.67241	1
1.67289	0
1.74806	1
1.74806	0
1.74853	1
1.74873	0
1.75941	1
1.75941	0
1.76392	1
1.76392	0
1.76439	1
1.76459	0
1.76486	1
1.76527	0
1.76533	1
1.76581	2
1.76594	1
1.76628	2
1.76661	1
1.76675	2
1.76722	3
1.76729	2
1.76769	3
1.76796	2
1.76817	3
1.76864	4
1.76864	3
1.76911	4
1.76931	3
1.76947	4
1.76947	3
1.76958	4
1.76999	3
1.77005	4
1.77053	5
1.77066	4
1.771	5
1.77133	4
1.77147	5
1.77194	6
1.77201	5
1.77241	6
1.77268	5
1.77289	6
1.77336	7
1.77336	6
1.77403	5
1.77471	4
1.77527	5
1.77527	4
1.77538	3
1.77605	2
1.77661	3
1.77661	2
1.77673	1
1.7774	0
1.77796	1
1.77796	0
1.77931	1
1.77931	0
1.78066	1
1.78066	0
1.78201	1
1.78201	0
1.78336	1
1.78336	0
1.78471	1
1.78471	0
1.78533	1
1.78533	0
1.78605	1
1.78605	0
1.78668	1
1.78668	0
1.7874	1
1.7874	0
1.78802	1
1.78802	0
1.78937	1
1.78937	0
1.79072	1
1.79072	0
